what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1300292450205
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1300292450206
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1300292450207
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1300292450208
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1300292450209
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1300292450210
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1300292450211
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1300292450212
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1300292450213
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1300292450214
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1300292450215
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1300292450215
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1300292450216
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1300292450216
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1300292450216
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1300292450217
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1300292450217
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1300292450218
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1300292450218
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1300292450219
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1300292450219
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1300292450220
os,sysinfo,,,"win32",1300292450222
arch,sysinfo,,,"x86",1300292450222
ws,sysinfo,,,"win32",1300292450222
locale,sysinfo,,,"en_US",1300292450222
processors,sysinfo,,,"2",1300292450222
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300292450222
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1300292450222
java.specification.name,sysinfo,,,"Java Platform API Specification",1300292450222
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300292450222
java.specification.version,sysinfo,,,"1.6",1300292450222
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300292450222
java.version,sysinfo,,,"1.6.0_24",1300292450222
java.vm.info,sysinfo,,,"mixed mode, sharing",1300292450222
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1300292450222
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300292450222
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300292450222
java.vm.specification.version,sysinfo,,,"1.0",1300292450222
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300292450222
java.vm.version,sysinfo,,,"19.1-b02",1300292450222
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300292454637
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1300292454686
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1300292454739
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292461767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300292470387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292512820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1300292512835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292518939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292548294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1300292548307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292552627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292574545
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300292574720
